repeat	model	auc	brier
96	clinical_pair	0.5909090909090909	0.1889633993866937
96	clinical_lineages	0.5713286713286714	0.19262128236226012
96	clinical_lineages_pair	0.6629370629370629	0.18076898902433178
97	clinical	0.47412587412587415	0.19758189836192627
97	clinical_pair	0.6076923076923078	0.1914306570221715
97	clinical_lineages	0.5258741258741259	0.20183286392524163
97	clinical_lineages_pair	0.6342657342657343	0.19275956556386517
98	clinical	0.4762237762237762	0.19524824637073776
98	clinical_pair	0.5566433566433567	0.19215065327409742
98	clinical_lineages	0.4972027972027972	0.201161652302396
98	clinical_lineages_pair	0.5748251748251748	0.2051703247821188
99	clinical	0.4538461538461539	0.19902381843141545
99	clinical_pair	0.5972027972027971	0.1863007221997876
99	clinical_lineages	0.5244755244755245	0.20078540695305935
99	clinical_lineages_pair	0.6475524475524476	0.18404604655233148
100	clinical	0.4769230769230769	0.19653671653795324
100	clinical_pair	0.5741258741258741	0.19056770133262937
100	clinical_lineages	0.5181818181818182	0.20419913363207834
100	clinical_lineages_pair	0.5958041958041959	0.19765810451770283
101	clinical	0.4888111888111888	0.1955220644028509
101	clinical_pair	0.5797202797202796	0.1863223150020126
101	clinical_lineages	0.5048951048951049	0.2098497438807076
101	clinical_lineages_pair	0.6293706293706294	0.19400667453090384
102	clinical	0.5426573426573427	0.19018617584229738
102	clinical_pair	0.6251748251748253	0.18106460134161842
102	clinical_lineages	0.5874125874125874	0.1938968198560855
102	clinical_lineages_pair	0.6510489510489511	0.18144289966474708
103	clinical	0.46293706293706294	0.19404161606105327
103	clinical_pair	0.620979020979021	0.18240047374059626
103	clinical_lineages	0.5384615384615384	0.19712851388235128
103	clinical_lineages_pair	0.6489510489510489	0.18441447797077773
104	clinical	0.4699300699300699	0.1961840310756527
104	clinical_pair	0.5517482517482518	0.19543884538627462
104	clinical_lineages	0.5405594405594405	0.201709592365075
104	clinical_lineages_pair	0.5986013986013986	0.1996462063825588
105	clinical	0.4818181818181818	0.19684856684151864
105	clinical_pair	0.5853146853146853	0.1888979522846461
105	clinical_lineages	0.5041958041958041	0.2142568847526295
105	clinical_lineages_pair	0.5825174825174826	0.20250629209411145
106	clinical	0.5531468531468532	0.1885773467179049
106	clinical_pair	0.6412587412587413	0.17873093439051282
106	clinical_lineages	0.6041958041958041	0.1981915497400883
106	clinical_lineages_pair	0.6552447552447552	0.18804610103031674
107	clinical	0.49370629370629365	0.1955805631226001
107	clinical_pair	0.6083916083916083	0.18232539685716598
107	clinical_lineages	0.4573426573426573	0.21654208479304604
107	clinical_lineages_pair	0.6041958041958042	0.19888262249175023
108	clinical	0.4881118881118881	0.19739177286841858
108	clinical_pair	0.5895104895104895	0.19250974141975988
108	clinical_lineages	0.506993006993007	0.2075582018350215
108	clinical_lineages_pair	0.6230769230769231	0.19455026235998488
109	clinical	0.5237762237762238	0.19138392382506175
109	clinical_pair	0.579020979020979	0.19593915653002472
109	clinical_lineages	0.5951048951048951	0.19160254653216935
109	clinical_lineages_pair	0.6454545454545454	0.19691263227411515
110	clinical	0.4405594405594405	0.20203450071202325
110	clinical_pair	0.544055944055944	0.19067557539491378
110	clinical_lineages	0.44195804195804195	0.21387147092708444
110	clinical_lineages_pair	0.5776223776223777	0.19494130061569012
111	clinical	0.5097902097902097	0.1923336544523693
111	clinical_pair	0.6335664335664336	0.1800112077809016
111	clinical_lineages	0.5594405594405594	0.20550549570145685
111	clinical_lineages_pair	0.6895104895104894	0.18831331660610337
112	clinical	0.4902097902097902	0.1974515026009311
112	clinical_pair	0.5664335664335663	0.19255199431500453
112	clinical_lineages	0.544055944055944	0.19916263830486258
112	clinical_lineages_pair	0.6181818181818182	0.1907484320612845
113	clinical	0.493006993006993	0.19303044060365224
113	clinical_pair	0.6223776223776225	0.1875625795973246
113	clinical_lineages	0.5356643356643357	0.1988684052454741
113	clinical_lineages_pair	0.6482517482517482	0.18983829329425903
114	clinical	0.4769230769230769	0.19780146263375561
114	clinical_pair	0.6006993006993006	0.18195404236614712
114	clinical_lineages	0.5132867132867132	0.2082708810782884
114	clinical_lineages_pair	0.6482517482517482	0.18932112738099685
115	clinical	0.5083916083916084	0.19249028418454006
115	clinical_pair	0.5608391608391607	0.19467686173274312
115	clinical_lineages	0.5307692307692308	0.19942890731342708
115	clinical_lineages_pair	0.6447552447552447	0.1956173136030081
116	clinical	0.45664335664335665	0.2007896120044137
116	clinical_pair	0.5594405594405594	0.19324246454773653
116	clinical_lineages	0.49370629370629376	0.20666220839054386
116	clinical_lineages_pair	0.5916083916083916	0.19833758574534635
117	clinical	0.4699300699300699	0.19967437542027724
117	clinical_pair	0.5342657342657342	0.19577996419502156
117	clinical_lineages	0.5202797202797202	0.20288645552523493
117	clinical_lineages_pair	0.5741258741258741	0.20427978713452344
118	clinical	0.4398601398601399	0.19801345311761107
118	clinical_pair	0.5475524475524476	0.19080596049539023
